STATE,YEAR,MONTH_NAME,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,3K
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,3K
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,3K
MINNESOTA,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Thunderstorm Wind,0,0,0,0,
MINNESOTA,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Thunderstorm Wind,0,0,0,0,
MINNESOTA,1999,July,Heat,0,0,0,0,
KANSAS,1999,August,Thunderstorm Wind,0,0,0,0,
KANSAS,1999,August,Thunderstorm Wind,0,0,0,0,
KANSAS,1999,August,Flood,0,0,0,0,
CALIFORNIA,1999,August,Hail,0,0,0,0,
NEW MEXICO,1999,August,Flash Flood,0,0,0,0,
WISCONSIN,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Heat,0,0,0,0,
MINNESOTA,1999,July,Thunderstorm Wind,1,0,0,0,
MINNESOTA,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Thunderstorm Wind,0,0,0,0,
MINNESOTA,1999,July,Hail,0,0,0,0,
NEW YORK,1999,August,Thunderstorm Wind,0,0,0,0,115K
WISCONSIN,1999,July,Heat,0,0,0,0,
VIRGINIA,1999,August,Drought,0,0,0,0,
MINNESOTA,1999,July,Heat,0,0,0,0,
MINNESOTA,1999,July,Heat,0,0,0,0,
MINNESOTA,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Heat,0,0,0,0,
VIRGINIA,1999,August,Drought,0,0,0,0,
VIRGINIA,1999,August,Drought,0,0,0,0,
SOUTH CAROLINA,1999,August,Hail,0,0,0,0,
NORTH CAROLINA,1999,August,Hail,0,0,0,0,35K
SOUTH CAROLINA,1999,August,Thunderstorm Wind,0,0,0,0,
FLORIDA,1999,August,Thunderstorm Wind,0,0,0,0,2.5K
GEORGIA,1999,August,Thunderstorm Wind,0,0,0,0,3.5K
GEORGIA,1999,August,Waterspout,0,0,0,0,
FLORIDA,1999,August,Thunderstorm Wind,0,0,0,0,3.5K
FLORIDA,1999,August,Thunderstorm Wind,0,0,0,0,2.5K
GEORGIA,1999,August,Thunderstorm Wind,0,0,0,0,2.5K
FLORIDA,1999,August,Thunderstorm Wind,0,0,0,0,2.5K
FLORIDA,1999,August,Thunderstorm Wind,0,0,0,0,2.5K
MINNESOTA,1999,July,Heat,0,0,0,0,
WISCONSIN,1999,July,Funnel Cloud,0,0,0,0,
WISCONSIN,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Heat,0,0,0,0,
